City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mortka,99,RU,2020-08-18 00:55:40,99,59.33,66.02,50.72,5.23
1,Plettenberg Bay,100,ZA,2020-08-18 00:55:41,80,-34.05,23.37,47.03,22.93
2,Caravelas,0,BR,2020-08-18 00:55:43,86,-17.71,-39.25,72.12,6.17
3,Iranshahr,87,IR,2020-08-18 00:55:46,26,27.2,60.68,95.0,4.7
4,Athabasca,73,CA,2020-08-18 00:52:11,65,54.72,-113.29,80.04,4.09
5,Samarai,0,PG,2020-08-18 00:55:50,58,-10.62,150.67,76.6,7.72
6,Roald,0,NO,2020-08-18 00:55:52,100,62.58,6.13,59.0,8.05
7,Nanortalik,100,GL,2020-08-18 00:55:53,70,60.14,-45.24,48.52,2.26
8,Santiago,0,CL,2020-08-18 00:51:02,66,-33.46,-70.65,53.01,5.82
9,Erenhot,100,CN,2020-08-18 00:55:54,57,43.65,111.98,68.52,19.33
10,Kapit,63,MY,2020-08-18 00:55:54,81,2.02,112.93,79.43,1.7
11,Provideniya,100,RU,2020-08-18 00:55:54,71,64.38,-173.3,51.8,11.18
12,Dwarka,76,IN,2020-08-18 00:55:55,86,22.24,68.97,82.6,11.07
13,Saskylakh,100,RU,2020-08-18 00:53:51,82,71.92,114.08,52.61,12.24
14,San Jose,75,US,2020-08-18 00:51:00,48,37.34,-121.89,90.0,10.29
15,Rikitea,44,PF,2020-08-18 00:55:56,74,-23.12,-134.97,72.14,6.93
16,Bluff,100,NZ,2020-08-18 00:56:00,60,-46.6,168.33,45.61,2.33
17,Port Hedland,0,AU,2020-08-18 00:56:03,19,-20.32,118.57,69.8,18.34
18,Port Alfred,58,ZA,2020-08-18 00:54:55,66,-33.59,26.89,52.27,33.33
19,Longyearbyen,75,SJ,2020-08-18 00:56:06,81,78.22,15.64,44.6,6.93
20,Ust-Kut,75,RU,2020-08-18 00:56:07,50,56.79,105.77,61.65,2.46
21,Georgetown,20,MY,2020-08-18 00:54:29,88,5.41,100.34,80.6,3.36
22,Albany,66,US,2020-08-18 00:56:07,77,42.6,-73.97,71.01,5.48
23,Mangai,82,CD,2020-08-18 00:56:08,65,-4.05,19.53,77.38,2.24
24,West Wendover,1,US,2020-08-18 00:51:58,9,40.74,-114.07,100.4,10.29
25,Jalu,0,LY,2020-08-18 00:56:08,45,29.03,21.55,79.77,10.04
26,Batagay-Alyta,100,RU,2020-08-18 00:56:09,48,67.8,130.41,52.12,1.88
27,Saint-Francois,89,FR,2020-08-18 00:56:09,77,46.42,3.91,62.6,2.8
28,Abha,35,SA,2020-08-18 00:56:10,45,18.22,42.51,69.8,6.76
29,Castro,100,BR,2020-08-18 00:53:09,95,-24.79,-50.01,60.31,6.08
30,Atar,0,MR,2020-08-18 00:56:10,45,20.52,-13.05,91.98,16.42
31,Dikson,48,RU,2020-08-18 00:56:11,92,73.51,80.55,49.73,10.89
32,Punta Arenas,75,CL,2020-08-18 00:56:11,64,-53.15,-70.92,37.4,14.99
33,Watsa,100,CD,2020-08-18 00:56:12,100,3.04,29.54,62.74,1.61
34,Vaini,75,TO,2020-08-18 00:56:13,78,-21.2,-175.2,75.2,12.75
35,Adet,100,ET,2020-08-18 00:56:13,95,11.26,37.49,55.96,3.4
36,New Norfolk,99,AU,2020-08-18 00:56:13,89,-42.78,147.06,51.01,1.01
37,Burla,90,IN,2020-08-18 00:56:17,94,21.5,83.87,78.8,3.36
38,Otavi,0,NA,2020-08-18 00:56:19,40,-19.65,17.33,50.41,12.08
39,Tasiilaq,4,GL,2020-08-18 00:56:21,93,65.61,-37.64,50.0,4.7
40,Tuktoyaktuk,90,CA,2020-08-18 00:53:42,71,69.45,-133.04,53.6,4.7
41,Gondanglegi,44,ID,2020-08-18 00:56:23,72,-7.75,112.01,79.54,15.99
42,Basco,67,PH,2020-08-18 00:56:24,80,20.45,121.97,84.25,14.65
43,Nikolskoye,37,RU,2020-08-18 00:56:25,93,59.7,30.79,53.01,2.06
44,Jamestown,75,US,2020-08-18 00:56:25,82,42.1,-79.24,66.2,3.36
45,Broome,1,US,2020-08-18 00:54:57,60,42.25,-75.83,69.8,8.05
46,Carthage,20,TN,2020-08-18 00:56:25,61,36.86,10.33,78.8,3.36
47,Saint-Philippe,46,RE,2020-08-18 00:56:26,63,-21.36,55.77,66.2,5.82
48,Zhigansk,87,RU,2020-08-18 00:56:26,43,66.77,123.37,56.71,2.59
49,San Patricio,90,MX,2020-08-18 00:56:26,79,19.22,-104.7,84.2,13.87
50,Bredasdorp,80,ZA,2020-08-18 00:56:26,87,-34.53,20.04,44.6,16.11
51,Ushuaia,75,AR,2020-08-18 00:56:27,95,-54.8,-68.3,33.8,21.92
52,Laguna,1,US,2020-08-18 00:56:27,30,38.42,-121.42,98.6,14.99
53,Busselton,81,AU,2020-08-18 00:56:28,72,-33.65,115.33,54.0,13.85
54,Avarua,93,CK,2020-08-18 00:56:28,69,-21.21,-159.78,73.4,10.29
55,Cape Town,40,ZA,2020-08-18 00:53:02,70,-33.93,18.42,48.99,9.17
56,Port Elizabeth,40,ZA,2020-08-18 00:56:28,71,-33.92,25.57,50.0,29.97
57,Saint George,1,US,2020-08-18 00:53:31,5,37.1,-113.58,111.0,8.05
58,Lagoa,100,PT,2020-08-18 00:56:29,90,39.05,-27.98,72.63,13.67
59,Bandarbeyla,34,SO,2020-08-18 00:56:29,74,9.49,50.81,75.27,29.51
60,Kachug,0,RU,2020-08-18 00:56:31,56,53.96,105.88,59.97,3.51
61,Bilibino,100,RU,2020-08-18 00:56:33,89,68.05,166.44,38.68,9.35
62,Praia Da Vitoria,75,PT,2020-08-18 00:56:35,88,38.73,-27.07,75.2,16.69
63,Khatanga,100,RU,2020-08-18 00:54:17,87,71.97,102.5,59.25,9.93
64,Hobart,75,AU,2020-08-18 00:53:03,76,-42.88,147.33,51.01,8.05
65,Saldanha,88,ZA,2020-08-18 00:56:37,76,-33.01,17.94,48.2,9.17
66,Saint Anthony,1,US,2020-08-18 00:52:09,40,45.02,-93.22,73.99,6.93
67,Thompson,75,CA,2020-08-18 00:53:44,55,55.74,-97.86,64.4,3.36
68,Guatire,75,VE,2020-08-18 00:55:16,83,10.48,-66.54,80.6,3.36
69,Broken Hill,0,AU,2020-08-18 00:55:24,44,-31.95,141.43,59.0,14.32
70,Tuatapere,100,NZ,2020-08-18 00:54:46,50,-46.13,167.68,51.35,2.44
71,Dingle,100,PH,2020-08-18 00:56:38,81,11.0,122.67,82.0,4.18
72,Nome,1,US,2020-08-18 00:55:17,55,64.5,-165.41,69.01,14.99
73,Hilo,40,US,2020-08-18 00:56:39,62,19.73,-155.09,84.2,10.29
74,Ayolas,0,PY,2020-08-18 00:56:39,81,-27.4,-56.9,55.51,5.84
75,Saint-Pierre,34,RE,2020-08-18 00:56:40,63,-21.34,55.48,66.2,5.82
76,Codrington,23,AU,2020-08-18 00:56:40,78,-38.27,141.97,54.7,12.12
77,Ostrovnoy,12,RU,2020-08-18 00:55:30,87,68.05,39.51,40.46,12.24
78,Narsaq,43,GL,2020-08-18 00:56:40,58,60.92,-46.05,55.4,1.12
79,Cockburn Town,0,TC,2020-08-18 00:56:41,81,21.46,-71.14,83.59,10.87
80,Bouafle,75,CI,2020-08-18 00:56:41,94,6.99,-5.74,73.4,6.93
81,Clyde River,90,CA,2020-08-18 00:54:36,81,70.47,-68.59,53.6,14.99
82,Airai,0,TL,2020-08-18 00:54:53,48,-8.93,125.41,71.02,5.14
83,Syamzha,100,RU,2020-08-18 00:56:42,79,60.02,41.06,46.0,4.34
84,Road Town,0,VG,2020-08-18 00:56:43,82,18.42,-64.62,84.0,18.99
85,Bambous Virieux,40,MU,2020-08-18 00:56:43,77,-20.34,57.76,69.8,13.87
86,Yellowknife,40,CA,2020-08-18 00:55:46,63,62.46,-114.35,66.0,9.17
87,Saint Pete Beach,100,US,2020-08-18 00:56:43,65,27.73,-82.74,82.99,9.53
88,Arraial Do Cabo,100,BR,2020-08-18 00:56:43,90,-22.97,-42.03,71.89,3.2
89,Tak Bai,20,TH,2020-08-18 00:56:44,88,6.26,102.05,78.8,5.82
90,Tiksi,100,RU,2020-08-18 00:56:44,94,71.69,128.87,45.16,0.25
91,Barrow,1,US,2020-08-18 00:55:09,76,71.29,-156.79,51.8,20.8
92,Hermanus,69,ZA,2020-08-18 00:56:44,84,-34.42,19.23,48.0,8.01
93,Ancud,20,CL,2020-08-18 00:56:44,81,-41.87,-73.82,45.0,4.7
94,Kodiak,1,US,2020-08-18 00:54:22,59,57.79,-152.41,66.2,6.93
95,Baker City,75,US,2020-08-18 00:56:45,28,44.77,-117.83,84.2,26.4
96,Ocampo,75,MX,2020-08-18 00:56:45,65,21.65,-101.5,62.64,18.61
97,Lebu,100,CL,2020-08-18 00:56:46,87,-37.62,-73.65,49.3,6.85
98,Cabo San Lucas,5,MX,2020-08-18 00:56:47,62,22.89,-109.91,89.6,11.41
99,Egvekinot,100,RU,2020-08-18 00:53:29,81,66.32,-179.17,47.05,6.15
100,Hamilton,20,US,2020-08-18 00:56:51,61,39.18,-84.53,79.0,5.84
101,Kapaa,20,US,2020-08-18 00:56:52,66,22.08,-159.32,84.99,14.99
102,Husavik,92,IS,2020-08-18 00:56:52,93,66.04,-17.34,46.4,3.36
103,Carnarvon,0,AU,2020-08-18 00:56:52,100,-24.87,113.63,57.2,6.93
