City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Abu Dhabi,AE,24.47,54.37,95.0,71,98,4.7,overcast clouds
1,Lerici,IT,44.08,9.91,78.01,59,0,1.99,clear sky
2,Castro,BR,-24.79,-50.01,41.47,90,99,5.23,overcast clouds
3,Woodward,US,36.43,-99.39,86.0,35,40,11.41,scattered clouds
4,Tuy Hoa,VN,13.08,109.3,76.03,84,13,6.02,few clouds
5,Hobart,AU,-42.88,147.33,37.4,86,20,9.17,few clouds
6,Butaritari,KI,3.07,172.79,81.86,67,100,1.95,overcast clouds
7,Cayenne,GF,4.93,-52.33,86.0,62,90,11.41,overcast clouds
8,Provideniya,RU,64.38,-173.3,50.04,90,100,9.15,overcast clouds
9,Cape Town,ZA,-33.93,18.42,51.8,93,18,1.12,few clouds
10,Bredasdorp,ZA,-34.53,20.04,48.2,93,61,5.82,broken clouds
11,San Andres,CO,12.58,-81.7,84.2,79,40,3.36,scattered clouds
12,Thunder Bay,CA,48.4,-89.32,75.99,69,20,6.93,few clouds
13,Vardo,NO,70.37,31.11,50.0,100,75,17.22,broken clouds
14,Sao Filipe,CV,14.9,-24.5,77.7,74,40,5.41,scattered clouds
15,Nouadhibou,MR,20.93,-17.03,78.8,83,84,12.75,broken clouds
16,Ekibastuz,KZ,51.67,75.37,55.38,75,9,10.29,clear sky
17,Port Elizabeth,ZA,-33.92,25.57,57.2,82,65,6.93,broken clouds
18,Ponta Do Sol,PT,32.67,-17.1,73.99,88,75,8.05,light intensity drizzle
19,Tiarei,PF,-17.53,-149.33,82.4,69,40,4.7,scattered clouds
20,Srednekolymsk,RU,67.45,153.68,40.82,71,100,13.53,overcast clouds
21,Yellowknife,CA,62.46,-114.35,57.2,58,75,14.99,broken clouds
22,Shieli,KZ,44.17,66.75,65.57,31,58,3.96,broken clouds
23,Bambanglipuro,ID,-7.95,110.28,73.35,90,100,4.38,overcast clouds
24,New Norfolk,AU,-42.78,147.06,37.0,90,2,2.15,clear sky
25,Bambous Virieux,MU,-20.34,57.76,70.0,73,40,6.93,scattered clouds
26,Puerto Ayora,EC,-0.74,-90.35,78.8,47,83,17.22,broken clouds
27,Pisco,PE,-13.7,-76.22,64.0,82,75,8.05,mist
